2014 USA Canoe Kayak Sprint National Championships,8/2/14 8:00,,,,,,,,,,
"Race #126, Event #201: Senior Men 200m K1 Heat 1",Lake Lanier Olympic Venue,,,,,,,,,,
Results and Score,,,,,,,,,,,
Lane,Person,Team,Result,Place,Score,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3,"Hopper, Noa",SDCKT,00:42.9,6,1,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
7,"Berghash, Aaron",Keystone,00:43.5,7,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,"Field, Kyle",Gig Harbor,00:44.0,8,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
8,"Szalay, Balazs",SDCKT,00:44.4,9,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
2014 USA Canoe Kayak Sprint National Championships,8/2/14 8:32,,,,,,,,,,
"Race #134, Event #204: Bantam Women 200m K2 Heat 1",Lake Lanier Olympic Venue,,,,,,,,,,
Results and Score,,,,,,,,,,,
Lane,Person,Team,Result,Place,Score,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4,"Potter, Gracyn",LCKC,00:50.9,1,0,,,,,,
,"Sniatecki, Saylor",LCKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6,"Bowmar, Maggie",LCKC,00:57.1,2,0,,,,,,
,"Roberts, Grace",LCKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
8,"Morris, Bailey",LCKC,00:58.7,3,0,,,,,,
,"Geib, Audrey",LCKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
7,"Ash, Chloe",LCKC,01:01.4,4,0,,,,,,
,"Ballard, Kelli Ann",LCKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5,"Valentine, Grace",OKC,01:03.5,5,0,,,,,,
,"Hein, Amy",SDCKT,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2,"Hein, Zoe",SDCKT,01:03.8,6,0,,,,,,
,"Ballard, Alyra",SDCKT,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3,"Milner, Audrey",Gig Harbor,01:18.5,7,0,,,,,,
,"Woodard, Zeela",Gig Harbor,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
2014 USA Canoe Kayak Sprint National Championships,8/2/14 8:36,,,,,,,,,,
"Race #135, Event #204: Bantam Women 200m K2 Heat 2",Lake Lanier Olympic Venue,,,,,,,,,,
Results and Score,,,,,,,,,,,
Lane,Person,Team,Result,Place,Score,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5,"Cole, Maddie",LCKC,00:53.2,1,0,,,,,,
,"Swenson, Lisa",LCKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6,"Geib, Linda",LCKC,00:57.7,2,0,,,,,,
,"Marsh, Caitlin",LCKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
7,"Hayes, Megan",LCKC,00:58.5,3,0,,,,,,
,"Brunson, Natalie",LCKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3,"Eckart, Hazel",OKC,00:58.9,4,0,,,,,,
,"Kemether, Cecilia",OKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2,"Orr, Rachel",SFCKC,01:08.1,5,0,,,,,,
,"Easterday, Carleigh",SFCKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4,"Norton, Jessica",Rice Creek,,DNF,0,,,,,,
,"Gill, Adia",WCC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
2014 USA Canoe Kayak Sprint National Championships,8/2/14 8:40,,,,,,,,,,
"Race #136, Event #204: Bantam Women 200m K2 Heat 3",Lake Lanier Olympic Venue,,,,,,,,,,
Results and Score,,,,,,,,,,,
Lane,Person,Team,Result,Place,Score,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
7,"Ballard, Josie",SDCKT,00:48.9,1,0,,,,,,
,"DaCosta, Lauryn",SDCKT,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2,"Morse, Lydia",Gig Harbor,00:52.1,2,0,,,,,,
,"Danke, Irissa",Gig Harbor,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3,"Allison, Chelsea",LCKC,00:59.2,3,0,,,,,,
,"Benham, Miah",LCKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4,"Ziegner, Kela",Ikaika,00:59.3,4,0,,,,,,
,"Wilding, Kali",Ikaika,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6,"Martinson, Trisha",Gig Harbor,00:59.7,5,0,,,,,,
,"Price, Rylee",Gig Harbor,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5,"Rodriguez, Chloe",LCKC,01:05.4,6,0,,,,,,
,"Thurmond, Cassie",LCKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
2014 USA Canoe Kayak Sprint National Championships,8/2/14 13:16,,,,,,,,,,
"Race #183, Event #204: Bantam Women 200m K2 Final",Lake Lanier Olympic Venue,,,,,,,,,,
Results and Score,,,,,,,,,,,
Lane,Person,Team,Result,Place,Score,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5,"Ballard, Josie",SDCKT,00:47.5,1,9,,,,,,
,"DaCosta, Lauryn",SDCKT,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4,"Potter, Gracyn",LCKC,00:51.1,2,7,,,,,,
,"Sniatecki, Saylor",LCKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3,"Morse, Lydia",Gig Harbor,00:51.9,3,5,,,,,,
,"Danke, Irissa",Gig Harbor,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6,"Cole, Maddie",LCKC,00:52.5,4,3,,,,,,
,"Swenson, Lisa",LCKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2,"Geib, Linda",LCKC,00:56.1,5,2,,,,,,
,"Marsh, Caitlin",LCKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
8,"Hayes, Megan",LCKC,00:59.5,6,1,,,,,,
,"Brunson, Natalie",LCKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
7,"Bowmar, Maggie",LCKC,00:59.9,7,0,,,,,,
,"Roberts, Grace",LCKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
9,"Eckart, Hazel",OKC,01:00.1,8,0,,,,,,
,"Kemether, Cecilia",OKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,"Morris, Bailey",LCKC,01:02.0,9,0,,,,,,
,"Geib, Audrey",LCKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Printed August 5, 2014 10:13 PM by JRaceman ",,,,,,,,,,,
2014 USA Canoe Kayak Sprint National Championships,8/2/14 13:20,,,,,,,,,,
"Race #184, Event #205: Juvenile Men 200m C2 Final",Lake Lanier Olympic Venue,,,,,,,,,,
Results and Score,,,,,,,,,,,
Lane,Person,Team,Result,Place,Score,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6,"Martin, Tyler",LCKC,00:45.4,1,9,,,,,,
,"Grattan, Dustin",LCKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
8,"Brunner, Riley",LCKC,00:45.8,2,7,,,,,,
,"Olson, Michael",LCKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
5,"Wickline, Jordan",Gig Harbor,00:47.0,3,5,,,,,,
,"Tayman, Jake",Gig Harbor,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
4,"Kasperbauer, Kenny",Gig Harbor,00:48.6,4,3,,,,,,
,"Tatum, Mason",Gig Harbor,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3,"Picardo, Kenji",SCKC,00:54.8,5,2,,,,,,
,"Chevallier, Paul",SDCKT,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,"Wickline, Ethan",Gig Harbor,01:00.6,6,1,,,,,,
,"Grady, Ryan",Gig Harbor,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2,"Gibbs, Austin",LCKC,01:07.4,7,0,,,,,,
,"Ward, Will",LCKC,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
7,"Ross, Jonathan",LCKC,01:14.0,8,0,,,,,,
,"Surles, Edward",LCKC,,,,,,,,,
